customer_id,recency,frequency,monetary,R_score,F_score,M_score,RFM_score,segment
C00121,19,6,2428.0,4,5,4,13,Champions
C00122,25,6,2719.0,3,5,4,12,Loyal Customers
C00123,19,5,2232.0,4,4,4,12,Loyal Customers
C00124,99,1,708.0,1,1,1,3,Hibernating
C00125,30,6,3202.0,3,5,5,13,Champions
C00126,50,6,3848.0,2,5,5,12,Loyal Customers
C00127,36,4,1796.0,3,3,3,9,Potential Loyalists
C00128,23,4,2094.0,4,3,3,10,Loyal Customers
C00129,65,5,3104.0,2,4,5,11,Loyal Customers
C00130,82,2,1336.0,1,1,2,4,Hibernating
C00131,178,1,603.0,1,1,1,3,Hibernating
C00132,84,4,1639.0,1,3,3,7,Potential Loyalists
C00133,88,4,2355.0,1,3,4,8,Potential Loyalists
C00134,14,5,3252.0,4,4,5,13,Champions
C00135,64,3,1741.0,2,2,3,7,Potential Loyalists
C00136,37,2,1073.0,3,1,2,6,At Risk
C00137,6,2,905.0,5,1,1,7,Potential Loyalists
C00138,68,3,1416.0,2,2,2,6,At Risk
C00139,173,1,693.0,1,1,1,3,Hibernating
C00140,121,3,1682.0,1,2,3,6,At Risk
C00141,0,5,2697.0,5,4,4,13,Champions
C00142,75,1,436.0,1,1,1,3,Hibernating
C00143,29,6,3099.0,3,5,5,13,Champions
C00144,177,1,495.0,1,1,1,3,Hibernating
C00145,102,1,474.0,1,1,1,3,Hibernating
C00146,9,5,3261.0,5,4,5,14,Champions
C00147,80,4,1870.0,1,3,3,7,Potential Loyalists
C00148,48,2,1211.0,2,1,2,5,At Risk
C00149,81,3,1120.0,1,2,2,5,At Risk
C00150,82,1,602.0,1,1,1,3,Hibernating
C00151,24,5,1684.0,4,4,3,11,Loyal Customers
C00152,90,5,2924.0,1,4,5,10,Loyal Customers
C00153,50,2,1084.0,2,1,2,5,At Risk
C00154,48,2,995.0,2,1,1,4,Hibernating
C00155,63,4,2104.0,2,3,3,8,Potential Loyalists
C00157,50,5,2125.0,2,4,3,9,Potential Loyalists
C00158,51,2,1150.0,2,1,2,5,At Risk
C00159,38,5,1987.0,3,4,3,10,Loyal Customers
C00160,15,4,1924.0,4,3,3,10,Loyal Customers
C00161,1,5,1807.0,5,4,3,12,Loyal Customers
C00162,51,5,3421.0,2,4,5,11,Loyal Customers
C00163,92,1,589.0,1,1,1,3,Hibernating
C00164,66,3,1444.0,2,2,2,6,At Risk
C00165,34,8,3842.0,3,5,5,13,Champions
C00166,12,4,1502.0,4,3,2,9,Potential Loyalists
C00167,3,5,2537.0,5,4,4,13,Champions
C00168,77,3,1286.0,1,2,2,5,At Risk
C00169,61,8,4907.0,2,5,5,12,Loyal Customers
C00170,0,3,1232.0,5,2,2,9,Potential Loyalists
C00171,22,3,1804.0,4,2,3,9,Potential Loyalists
C00172,80,2,861.0,1,1,1,3,Hibernating
C00173,76,4,2141.0,1,3,4,8,Potential Loyalists
C00174,51,2,1609.0,2,1,3,6,At Risk
C00175,9,6,2081.0,5,5,3,13,Champions
C00176,2,7,3396.0,5,5,5,15,Champions
C00177,43,3,1430.0,3,2,2,7,Potential Loyalists
C00178,35,2,897.0,3,1,1,5,At Risk
C00179,3,8,4022.0,5,5,5,15,Champions
C00180,38,4,2159.0,3,3,4,10,Loyal Customers
C00181,158,1,425.0,1,1,1,3,Hibernating
C00182,14,4,2272.0,4,3,4,11,Loyal Customers
C00183,43,5,2404.0,3,4,4,11,Loyal Customers
C00184,55,1,380.0,2,1,1,4,Hibernating
C00185,135,1,642.0,1,1,1,3,Hibernating
C00186,13,4,1939.0,4,3,3,10,Loyal Customers
C00187,23,3,1602.0,4,2,3,9,Potential Loyalists
C00188,52,3,2195.0,2,2,4,8,Potential Loyalists
C00189,14,5,2634.0,4,4,4,12,Loyal Customers
C00190,76,1,809.0,1,1,1,3,Hibernating
C00191,76,5,1468.0,1,4,2,7,Potential Loyalists
C00192,101,3,1077.0,1,2,2,5,At Risk
C00193,7,3,1194.0,5,2,2,9,Potential Loyalists
C00194,39,2,1021.0,3,1,1,5,At Risk
C00195,154,2,1016.0,1,1,1,3,Hibernating
C00196,39,5,3631.0,3,4,5,12,Loyal Customers
C00197,25,4,1877.0,3,3,3,9,Potential Loyalists
C00198,22,3,1601.0,4,2,3,9,Potential Loyalists
C00199,33,5,2723.0,3,4,4,11,Loyal Customers
C00200,13,6,2665.0,4,5,4,13,Champions
C00201,10,2,933.0,5,1,1,7,Potential Loyalists
C00202,1,6,3239.0,5,5,5,15,Champions
C00203,57,5,2607.0,2,4,4,10,Loyal Customers
C00204,19,7,4051.0,4,5,5,14,Champions
C00205,88,4,1714.0,1,3,3,7,Potential Loyalists
C00206,30,6,3642.0,3,5,5,13,Champions
C00207,15,5,2765.0,4,4,4,12,Loyal Customers
C00208,57,4,2115.0,2,3,3,8,Potential Loyalists
C00209,21,7,3146.0,4,5,5,14,Champions
C00210,95,3,1623.0,1,2,3,6,At Risk
C00211,30,2,1319.0,3,1,2,6,At Risk
C00212,0,3,1589.0,5,2,2,9,Potential Loyalists
C00213,50,3,1200.0,2,2,2,6,At Risk
C00214,33,7,3042.0,3,5,5,13,Champions
C00215,25,2,1067.0,3,1,2,6,At Risk
C00216,40,5,1767.0,3,4,3,10,Loyal Customers
C00217,12,4,1784.0,4,3,3,10,Loyal Customers
C00218,22,3,1324.0,4,2,2,8,Potential Loyalists
C00219,20,5,2340.0,4,4,4,12,Loyal Customers
C00220,1,4,2195.0,5,3,4,12,Loyal Customers
C00221,71,5,1671.0,2,4,3,9,Potential Loyalists
C00222,1,3,1985.0,5,2,3,10,Loyal Customers
C00223,7,4,1990.0,5,3,3,11,Loyal Customers
C00224,48,3,1437.0,2,2,2,6,At Risk
C00225,2,7,4020.0,5,5,5,15,Champions
C00226,3,3,1743.0,5,2,3,10,Loyal Customers
C00227,6,4,1698.0,5,3,3,11,Loyal Customers
C00228,2,6,2424.0,5,5,4,14,Champions
C00229,24,6,3079.0,4,5,5,14,Champions
C00230,1,3,1512.0,5,2,2,9,Potential Loyalists
C00231,1,7,3829.0,5,5,5,15,Champions
C00232,103,6,3553.0,1,5,5,11,Loyal Customers
C00233,19,5,3291.0,4,4,5,13,Champions
C00234,37,6,2803.0,3,5,4,12,Loyal Customers
C00235,1,2,578.0,5,1,1,7,Potential Loyalists
C00236,14,2,893.0,4,1,1,6,At Risk
C00237,15,3,1056.0,4,2,2,8,Potential Loyalists
C00238,102,1,776.0,1,1,1,3,Hibernating
C00239,9,2,1221.0,5,1,2,8,Potential Loyalists
C00240,74,3,1587.0,2,2,2,6,At Risk
C00241,0,4,1708.0,5,3,3,11,Loyal Customers
C00242,160,2,1030.0,1,1,1,3,Hibernating
C00243,29,4,1883.0,3,3,3,9,Potential Loyalists
C00244,67,5,1762.0,2,4,3,9,Potential Loyalists
C00245,47,5,3828.0,2,4,5,11,Loyal Customers
C00246,76,3,1277.0,1,2,2,5,At Risk
C00247,46,4,2569.0,2,3,4,9,Potential Loyalists
C00248,10,7,3615.0,5,5,5,15,Champions
C00249,48,3,1430.0,2,2,2,6,At Risk
C00250,75,3,1091.0,1,2,2,5,At Risk
C00251,43,3,2594.0,3,2,4,9,Potential Loyalists
C00252,156,1,315.0,1,1,1,3,Hibernating
C00253,11,3,1680.0,4,2,3,9,Potential Loyalists
C00254,29,4,2705.0,3,3,4,10,Loyal Customers
C00255,68,4,1890.0,2,3,3,8,Potential Loyalists
C00256,10,4,1944.0,5,3,3,11,Loyal Customers
C00257,97,6,2957.0,1,5,5,11,Loyal Customers
C00258,24,4,1553.0,4,3,2,9,Potential Loyalists
C00259,42,4,2874.0,3,3,5,11,Loyal Customers
C00260,55,7,3474.0,2,5,5,12,Loyal Customers
C00261,91,4,1719.0,1,3,3,7,Potential Loyalists
C00262,31,4,1617.0,3,3,3,9,Potential Loyalists
C00263,27,6,2833.0,3,5,5,13,Champions
C00264,123,1,779.0,1,1,1,3,Hibernating
C00265,32,2,638.0,3,1,1,5,At Risk
C00266,19,6,3449.0,4,5,5,14,Champions
C00267,32,3,1049.0,3,2,2,7,Potential Loyalists
C00268,25,3,1104.0,3,2,2,7,Potential Loyalists
C00269,3,4,2011.0,5,3,3,11,Loyal Customers
C00270,3,6,3666.0,5,5,5,15,Champions
C00271,40,4,2188.0,3,3,4,10,Loyal Customers
C00272,15,4,2059.0,4,3,3,10,Loyal Customers
C00273,15,4,1387.0,4,3,2,9,Potential Loyalists
C00275,69,2,1169.0,2,1,2,5,At Risk
C00276,106,1,486.0,1,1,1,3,Hibernating
C00277,19,4,1475.0,4,3,2,9,Potential Loyalists
C00278,3,4,1706.0,5,3,3,11,Loyal Customers
C00279,95,1,293.0,1,1,1,3,Hibernating
C00280,41,5,2167.0,3,4,4,11,Loyal Customers
C00281,19,8,4114.0,4,5,5,14,Champions
C00283,127,4,1633.0,1,3,3,7,Potential Loyalists
C00284,40,2,937.0,3,1,1,5,At Risk
C00285,14,5,3008.0,4,4,5,13,Champions
C00287,61,3,1283.0,2,2,2,6,At Risk
C00288,66,4,1698.0,2,3,3,8,Potential Loyalists
C00289,51,2,1046.0,2,1,1,4,Hibernating
C00290,103,2,903.0,1,1,1,3,Hibernating
C00291,21,6,2858.0,4,5,5,14,Champions
C00292,73,5,2090.0,2,4,3,9,Potential Loyalists
C00293,25,6,2275.0,3,5,4,12,Loyal Customers
C00294,15,3,1231.0,4,2,2,8,Potential Loyalists
C00295,101,2,827.0,1,1,1,3,Hibernating
C00296,17,4,1817.0,4,3,3,10,Loyal Customers
C00297,25,5,2850.0,3,4,5,12,Loyal Customers
C00298,60,2,759.0,2,1,1,4,Hibernating
C00299,64,1,600.0,2,1,1,4,Hibernating
C00300,4,4,2310.0,5,3,4,12,Loyal Customers
C00301,30,4,1749.0,3,3,3,9,Potential Loyalists
C00302,9,3,1388.0,5,2,2,9,Potential Loyalists
C00303,50,5,2511.0,2,4,4,10,Loyal Customers
C00304,35,4,1994.0,3,3,3,9,Potential Loyalists
C00305,91,2,964.0,1,1,1,3,Hibernating
C00306,28,4,1589.0,3,3,2,8,Potential Loyalists
C00307,175,1,385.0,1,1,1,3,Hibernating
C00308,9,3,1847.0,5,2,3,10,Loyal Customers
C00309,130,1,761.0,1,1,1,3,Hibernating
C00310,177,1,617.0,1,1,1,3,Hibernating
C00311,15,3,1585.0,4,2,2,8,Potential Loyalists
C00312,33,2,785.0,3,1,1,5,At Risk
C00313,8,2,839.0,5,1,1,7,Potential Loyalists
C00314,16,4,2284.0,4,3,4,11,Loyal Customers
C00315,30,1,769.0,3,1,1,5,At Risk
C00316,39,6,2456.0,3,5,4,12,Loyal Customers
C00318,29,5,2887.0,3,4,5,12,Loyal Customers
C00319,142,3,1436.0,1,2,2,5,At Risk
C00320,9,6,3064.0,5,5,5,15,Champions
C00321,20,3,1115.0,4,2,2,8,Potential Loyalists
C00322,41,8,3172.0,3,5,5,13,Champions
C00323,45,4,2680.0,2,3,4,9,Potential Loyalists
C00324,43,3,1664.0,3,2,3,8,Potential Loyalists
C00325,14,2,1318.0,4,1,2,7,Potential Loyalists
C00327,8,3,997.0,5,2,1,8,Potential Loyalists
C00328,15,4,1625.0,4,3,3,10,Loyal Customers
C00329,22,5,2109.0,4,4,3,11,Loyal Customers
C00331,24,4,2103.0,4,3,3,10,Loyal Customers
C00332,43,2,936.0,3,1,1,5,At Risk
C00333,21,3,2364.0,4,2,4,10,Loyal Customers
C00334,13,3,1064.0,4,2,2,8,Potential Loyalists
C00335,5,5,3133.0,5,4,5,14,Champions
C00336,55,5,2604.0,2,4,4,10,Loyal Customers
C00337,13,3,1638.0,4,2,3,9,Potential Loyalists
C00338,5,5,2684.0,5,4,4,13,Champions
C00339,46,5,2412.0,2,4,4,10,Loyal Customers
C00340,70,3,1163.0,2,2,2,6,At Risk
C00341,4,5,2703.0,5,4,4,13,Champions
C00342,27,2,1523.0,3,1,2,6,At Risk
C00343,49,6,2959.0,2,5,5,12,Loyal Customers
C00344,20,5,2776.0,4,4,4,12,Loyal Customers
C00345,25,2,749.0,3,1,1,5,At Risk
C00346,16,2,684.0,4,1,1,6,At Risk
C00347,3,5,2830.0,5,4,5,14,Champions
C00348,129,2,2248.0,1,1,4,6,At Risk
C00349,26,5,2682.0,3,4,4,11,Loyal Customers
C00350,105,3,1499.0,1,2,2,5,At Risk
C00351,9,7,4399.0,5,5,5,15,Champions
C00352,16,2,675.0,4,1,1,6,At Risk
C00353,5,2,618.0,5,1,1,7,Potential Loyalists
C00354,61,2,878.0,2,1,1,4,Hibernating
C00355,17,4,3136.0,4,3,5,12,Loyal Customers
C00356,32,5,2101.0,3,4,3,10,Loyal Customers
C00357,31,10,4343.0,3,5,5,13,Champions
C00358,8,3,1434.0,5,2,2,9,Potential Loyalists
C00359,19,2,962.0,4,1,1,6,At Risk
C00360,132,2,571.0,1,1,1,3,Hibernating
C00361,98,3,1552.0,1,2,2,5,At Risk
C00362,16,4,2036.0,4,3,3,10,Loyal Customers
C00363,44,3,1947.0,2,2,3,7,Potential Loyalists
C00364,10,7,3622.0,5,5,5,15,Champions
C00365,90,4,1478.0,1,3,2,6,At Risk
C00366,23,4,1945.0,4,3,3,10,Loyal Customers
C00367,67,3,1991.0,2,2,3,7,Potential Loyalists
C00368,27,5,2545.0,3,4,4,11,Loyal Customers
C00369,31,4,3095.0,3,3,5,11,Loyal Customers
C00370,38,2,1030.0,3,1,1,5,At Risk
C00371,26,1,518.0,3,1,1,5,At Risk
C00372,0,2,1137.0,5,1,2,8,Potential Loyalists
C00373,25,7,3840.0,3,5,5,13,Champions
C00374,8,3,1614.0,5,2,3,10,Loyal Customers
C00375,113,2,798.0,1,1,1,3,Hibernating
C00376,52,2,1175.0,2,1,2,5,At Risk
C00377,14,6,3484.0,4,5,5,14,Champions
C00378,20,3,1311.0,4,2,2,8,Potential Loyalists
C00379,21,3,1677.0,4,2,3,9,Potential Loyalists
C00380,1,5,2067.0,5,4,3,12,Loyal Customers
C00381,25,4,1879.0,3,3,3,9,Potential Loyalists
C00382,33,4,1769.0,3,3,3,9,Potential Loyalists
C00383,97,3,1760.0,1,2,3,6,At Risk
C00384,1,5,2379.0,5,4,4,13,Champions
C00385,24,5,2441.0,4,4,4,12,Loyal Customers
C00386,114,3,1374.0,1,2,2,5,At Risk
C00387,2,3,1525.0,5,2,2,9,Potential Loyalists
C00388,8,7,3338.0,5,5,5,15,Champions
C00389,49,4,1674.0,2,3,3,8,Potential Loyalists
C00390,113,1,444.0,1,1,1,3,Hibernating
C00391,57,2,698.0,2,1,1,4,Hibernating
C00392,44,3,1474.0,2,2,2,6,At Risk
C00393,26,2,1205.0,3,1,2,6,At Risk
C00394,41,1,400.0,3,1,1,5,At Risk
C00395,18,8,4437.0,4,5,5,14,Champions
C00396,9,4,1663.0,5,3,3,11,Loyal Customers
C00397,1,5,2651.0,5,4,4,13,Champions
C00398,19,3,1454.0,4,2,2,8,Potential Loyalists
C00399,24,6,3226.0,4,5,5,14,Champions
C00400,52,3,1612.0,2,2,3,7,Potential Loyalists
C00401,35,3,1965.0,3,2,3,8,Potential Loyalists
C00402,1,3,1787.0,5,2,3,10,Loyal Customers
C00403,6,6,4089.0,5,5,5,15,Champions
C00404,97,4,1932.0,1,3,3,7,Potential Loyalists
C00405,11,2,787.0,4,1,1,6,At Risk
C00406,1,6,4024.0,5,5,5,15,Champions
C00407,46,6,2903.0,2,5,5,12,Loyal Customers
C00408,5,4,1823.0,5,3,3,11,Loyal Customers
C00409,38,3,2200.0,3,2,4,9,Potential Loyalists
C00410,19,4,1788.0,4,3,3,10,Loyal Customers
C00411,152,1,716.0,1,1,1,3,Hibernating
C00412,36,9,4741.0,3,5,5,13,Champions
C00413,31,2,705.0,3,1,1,5,At Risk
C00414,47,3,1672.0,2,2,3,7,Potential Loyalists
C00415,1,3,1246.0,5,2,2,9,Potential Loyalists
C00416,91,2,2057.0,1,1,3,5,At Risk
C00417,1,2,974.0,5,1,1,7,Potential Loyalists
C00418,100,2,1303.0,1,1,2,4,Hibernating
C00419,34,2,871.0,3,1,1,5,At Risk
C00420,57,4,1766.0,2,3,3,8,Potential Loyalists
C00421,31,4,2186.0,3,3,4,10,Loyal Customers
C00422,17,5,3200.0,4,4,5,13,Champions
C00423,52,2,844.0,2,1,1,4,Hibernating
C00424,138,1,386.0,1,1,1,3,Hibernating
C00425,90,3,1269.0,1,2,2,5,At Risk
C00426,60,8,3472.0,2,5,5,12,Loyal Customers
C00427,111,1,666.0,1,1,1,3,Hibernating
C00428,37,3,1556.0,3,2,2,7,Potential Loyalists
C00429,129,1,305.0,1,1,1,3,Hibernating
C00430,34,7,3634.0,3,5,5,13,Champions
C00431,57,4,2205.0,2,3,4,9,Potential Loyalists
C00432,4,6,3076.0,5,5,5,15,Champions
C00433,18,4,2125.0,4,3,3,10,Loyal Customers
C00434,121,2,1234.0,1,1,2,4,Hibernating
C00435,163,2,1440.0,1,1,2,4,Hibernating
C00436,10,3,1275.0,5,2,2,9,Potential Loyalists
C00437,63,4,1801.0,2,3,3,8,Potential Loyalists
C00438,89,4,1893.0,1,3,3,7,Potential Loyalists
C00439,20,3,1164.0,4,2,2,8,Potential Loyalists
C00440,13,3,1181.0,4,2,2,8,Potential Loyalists
C00441,59,3,1787.0,2,2,3,7,Potential Loyalists
C00442,75,1,638.0,1,1,1,3,Hibernating
C00443,71,4,1805.0,2,3,3,8,Potential Loyalists
C00444,21,4,1837.0,4,3,3,10,Loyal Customers
C00445,14,2,972.0,4,1,1,6,At Risk
C00446,66,3,2088.0,2,2,3,7,Potential Loyalists
C00447,40,7,5170.0,3,5,5,13,Champions
C00448,43,2,933.0,3,1,1,5,At Risk
C00449,1,4,1818.0,5,3,3,11,Loyal Customers
C00450,3,7,4070.0,5,5,5,15,Champions
C00451,22,7,3716.0,4,5,5,14,Champions
C00452,26,5,3119.0,3,4,5,12,Loyal Customers
C00453,24,4,1808.0,4,3,3,10,Loyal Customers
C00454,123,4,2489.0,1,3,4,8,Potential Loyalists
C00455,72,2,824.0,2,1,1,4,Hibernating
C00456,123,3,1110.0,1,2,2,5,At Risk
C00457,46,5,3799.0,2,4,5,11,Loyal Customers
C00458,30,3,1395.0,3,2,2,7,Potential Loyalists
C00459,6,6,2870.0,5,5,5,15,Champions
C00460,25,6,2710.0,3,5,4,12,Loyal Customers
C00461,38,4,1663.0,3,3,3,9,Potential Loyalists
C00462,1,8,3726.0,5,5,5,15,Champions
C00463,164,1,479.0,1,1,1,3,Hibernating
C00464,79,2,382.0,1,1,1,3,Hibernating
C00465,7,6,3935.0,5,5,5,15,Champions
C00466,2,3,1270.0,5,2,2,9,Potential Loyalists
C00467,1,6,3091.0,5,5,5,15,Champions
C00468,131,2,1106.0,1,1,2,4,Hibernating
C00469,49,4,2295.0,2,3,4,9,Potential Loyalists
C00470,163,1,364.0,1,1,1,3,Hibernating
C00471,15,2,1223.0,4,1,2,7,Potential Loyalists
C00472,43,2,1482.0,3,1,2,6,At Risk
C00473,10,6,2156.0,5,5,4,14,Champions
C00474,35,4,2072.0,3,3,3,9,Potential Loyalists
C00475,38,6,2368.0,3,5,4,12,Loyal Customers
C00476,30,3,1403.0,3,2,2,7,Potential Loyalists
C00477,5,5,2562.0,5,4,4,13,Champions
C00478,47,1,336.0,2,1,1,4,Hibernating
C00479,9,4,2172.0,5,3,4,12,Loyal Customers
C00480,53,4,1391.0,2,3,2,7,Potential Loyalists
C00481,8,4,1495.0,5,3,2,10,Loyal Customers
C00482,93,2,1334.0,1,1,2,4,Hibernating
C00483,7,3,2039.0,5,2,3,10,Loyal Customers
C00484,38,5,2160.0,3,4,4,11,Loyal Customers
C00485,132,4,1901.0,1,3,3,7,Potential Loyalists
C00486,135,3,1168.0,1,2,2,5,At Risk
C00487,94,1,361.0,1,1,1,3,Hibernating
C00488,3,3,2132.0,5,2,3,10,Loyal Customers
C00489,39,5,2550.0,3,4,4,11,Loyal Customers
C00490,152,1,647.0,1,1,1,3,Hibernating
C00491,65,7,3443.0,2,5,5,12,Loyal Customers
C00492,11,4,2198.0,4,3,4,11,Loyal Customers
C00493,118,3,1222.0,1,2,2,5,At Risk
C00494,48,4,2479.0,2,3,4,9,Potential Loyalists
C00495,51,4,1377.0,2,3,2,7,Potential Loyalists
C00496,87,2,1026.0,1,1,1,3,Hibernating
C00497,4,9,4514.0,5,5,5,15,Champions
C00498,28,6,2904.0,3,5,5,13,Champions
C00499,36,1,929.0,3,1,1,5,At Risk
C00500,31,2,1496.0,3,1,2,6,At Risk
C00501,6,5,2566.0,5,4,4,13,Champions
C00502,107,1,650.0,1,1,1,3,Hibernating
C00503,69,3,750.0,2,2,1,5,At Risk
C00504,104,4,1978.0,1,3,3,7,Potential Loyalists
C00505,27,5,2443.0,3,4,4,11,Loyal Customers
C00506,67,1,540.0,2,1,1,4,Hibernating
C00507,52,7,3397.0,2,5,5,12,Loyal Customers
C00508,19,5,2366.0,4,4,4,12,Loyal Customers
C00509,21,6,4298.0,4,5,5,14,Champions
C00510,98,2,1225.0,1,1,2,4,Hibernating
C00511,97,5,1898.0,1,4,3,8,Potential Loyalists
C00512,122,4,2017.0,1,3,3,7,Potential Loyalists
C00513,7,4,1615.0,5,3,3,11,Loyal Customers
C00514,36,3,1479.0,3,2,2,7,Potential Loyalists
C00515,5,5,2094.0,5,4,3,12,Loyal Customers
C00516,2,5,2839.0,5,4,5,14,Champions
