order_id,order_date,customer_id,restaurant_id,city,cuisine,order_value,discount,delivery_fee,net_order_value,delivery_time_min,rating,order_status,payment_method,promo_used,distance_km,is_new_customer,month
O000023,2026-05-18,C02208,R0099,Bengaluru,Desserts,280.0,40,29,240.0,63,4.5,Delivered,UPI,True,12.3,False,2026-05
O000024,2026-06-01,C00397,R0208,Mumbai,Chinese,532.0,0,19,532.0,40,3.6,Delivered,UPI,False,6.1,False,2026-06
O000025,2026-04-14,C01958,R0050,Delhi NCR,Biryani,457.0,80,29,377.0,26,4.6,Delivered,UPI,True,1.2,False,2026-04
O000026,2026-04-21,C00794,R0152,Mumbai,North Indian,378.0,40,49,338.0,25,4.6,Delivered,UPI,True,3.6,False,2026-04
O000027,2026-04-26,C02548,R0145,Delhi NCR,Burgers,1068.0,0,0,1068.0,39,3.5,Delivered,Card,False,6.8,False,2026-04
O000028,2026-02-26,C00209,R0146,Hyderabad,Burgers,259.0,60,19,199.0,47,3.9,Delivered,Cash,True,11.0,False,2026-02
O000029,2026-05-08,C01157,R0042,Bengaluru,Burgers,728.0,0,19,728.0,48,3.8,Delivered,Wallet,False,2.7,False,2026-05
O000030,2026-05-31,C00433,R0145,Delhi NCR,Burgers,495.0,60,0,435.0,30,3.8,Delivered,Card,True,3.2,False,2026-05
O000031,2026-05-30,C02657,R0016,Mumbai,Burgers,214.0,0,29,214.0,18,3.5,Delivered,UPI,False,1.0,False,2026-05
O000032,2026-06-11,C01755,R0085,Delhi NCR,North Indian,545.0,40,19,505.0,41,3.6,Delivered,Cash,True,1.8,False,2026-06
O000033,2026-04-30,C02437,R0216,Delhi NCR,Desserts,293.0,40,29,253.0,45,3.6,Delivered,Wallet,True,6.9,False,2026-04
O000034,2026-03-11,C00583,R0226,Pune,Healthy,377.0,40,19,337.0,18,3.4,Delivered,UPI,True,2.5,False,2026-03
O000035,2026-06-05,C00432,R0052,Hyderabad,Healthy,470.0,0,29,470.0,56,4.2,Delivered,Card,False,11.2,False,2026-06
O000036,2026-04-05,C01298,R0036,Chennai,Burgers,885.0,20,19,865.0,35,3.8,Delivered,UPI,True,0.6,False,2026-04
O000037,2026-04-09,C00351,R0107,Bengaluru,Pizza,838.0,80,39,758.0,53,3.3,Delivered,Card,True,7.6,False,2026-04
O000038,2026-06-16,C00134,R0219,Mumbai,North Indian,333.0,40,0,293.0,24,3.8,Delivered,UPI,True,2.5,False,2026-06
O000039,2026-02-11,C00639,R0167,Bengaluru,Healthy,554.0,0,39,554.0,39,3.5,Delivered,UPI,False,3.5,False,2026-02
O000040,2026-05-31,C01229,R0081,Mumbai,Chinese,647.0,0,19,647.0,37,3.8,Delivered,UPI,False,5.5,False,2026-05
O000041,2026-03-11,C00117,R0153,Mumbai,Healthy,661.0,0,29,661.0,38,4.5,Delivered,Card,False,3.5,True,2026-03
O000042,2026-01-02,C01291,R0115,Mumbai,Desserts,747.0,40,0,707.0,46,3.2,Delivered,Cash,True,1.8,True,2026-01
O000043,2026-06-01,C01818,R0230,Bengaluru,South Indian,543.0,0,0,543.0,25,3.7,Delivered,Card,False,3.1,False,2026-06
O000044,2026-05-25,C02197,R0042,Chennai,Burgers,554.0,80,39,474.0,31,4.5,Delivered,Card,True,5.4,False,2026-05
O000045,2026-04-19,C01704,R0149,Hyderabad,Chinese,513.0,100,0,413.0,42,4.8,Delivered,Card,True,4.0,False,2026-04
O000046,2026-03-06,C01848,R0068,Delhi NCR,Burgers,636.0,40,39,596.0,28,4.7,Delivered,Card,True,1.9,True,2026-03
O000047,2026-03-11,C02227,R0217,Delhi NCR,Desserts,495.0,100,0,395.0,52,4.0,Delivered,UPI,True,5.4,False,2026-03
O000048,2026-03-10,C02196,R0187,Bengaluru,Desserts,543.0,60,0,483.0,20,3.8,Delivered,Cash,True,2.0,False,2026-03
O000049,2026-05-01,C00465,R0124,Chennai,North Indian,1029.0,0,49,1029.0,45,3.9,Delivered,Card,False,3.3,False,2026-05
O000050,2026-04-19,C00976,R0030,Mumbai,Pizza,365.0,0,39,365.0,40,3.7,Delivered,UPI,False,0.9,False,2026-04
O000051,2026-03-01,C02617,R0185,Hyderabad,Pizza,374.0,0,39,374.0,31,4.2,Delivered,Card,False,0.4,True,2026-03
O000052,2026-06-27,C02026,R0033,Hyderabad,Chinese,531.0,0,19,531.0,24,4.4,Delivered,Cash,False,0.9,False,2026-06
O000053,2026-04-03,C01029,R0103,Delhi NCR,Chinese,329.0,100,29,229.0,28,4.4,Delivered,Cash,True,2.1,False,2026-04
O000054,2026-01-12,C00526,R0218,Chennai,South Indian,597.0,100,19,497.0,43,3.0,Delivered,Cash,True,9.5,True,2026-01
O000055,2026-04-13,C02328,R0217,Delhi NCR,Desserts,455.0,80,19,375.0,46,5.0,Delivered,Card,True,6.2,False,2026-04
O000056,2026-06-24,C02547,R0053,Mumbai,South Indian,297.0,0,39,297.0,36,4.5,Delivered,UPI,False,4.3,False,2026-06
O000057,2026-04-22,C00836,R0144,Delhi NCR,Desserts,366.0,80,19,286.0,26,3.9,Delivered,UPI,True,1.4,False,2026-04
O000058,2026-03-06,C02484,R0177,Pune,North Indian,642.0,80,0,562.0,37,4.1,Delivered,Card,True,2.5,False,2026-03
O000059,2026-06-04,C02864,R0216,Mumbai,Desserts,348.0,0,39,348.0,72,4.3,Delivered,Cash,False,9.0,False,2026-06
O000060,2026-02-17,C01240,R0133,Hyderabad,Chinese,642.0,0,49,642.0,36,3.8,Delivered,Card,False,3.5,True,2026-02
O000061,2026-03-29,C02735,R0246,Pune,Healthy,304.0,0,29,304.0,32,3.7,Delivered,UPI,False,4.4,False,2026-03
O000062,2026-03-03,C02876,R0247,Hyderabad,Burgers,148.0,20,39,128.0,43,4.5,Delivered,Cash,True,8.8,False,2026-03
O000063,2026-02-13,C01539,R0106,Hyderabad,Healthy,243.0,0,29,243.0,36,3.4,Delivered,Cash,False,3.5,False,2026-02
O000064,2026-05-27,C01911,R0231,Delhi NCR,South Indian,1402.0,60,29,1342.0,38,4.6,Delivered,UPI,True,1.4,False,2026-05
O000065,2026-05-16,C02660,R0077,Hyderabad,Burgers,351.0,20,29,331.0,31,3.6,Delivered,Cash,True,3.9,False,2026-05
O000066,2026-02-24,C02643,R0094,Chennai,Healthy,465.0,0,19,465.0,37,4.2,Delivered,UPI,False,0.3,False,2026-02
O000067,2026-04-18,C01304,R0060,Hyderabad,Healthy,835.0,0,0,835.0,45,3.5,Delivered,UPI,False,6.3,False,2026-04
O000068,2026-02-16,C00132,R0199,Mumbai,Healthy,411.0,80,0,331.0,48,4.8,Delivered,UPI,True,4.8,True,2026-02
O000069,2026-01-02,C00393,R0111,Chennai,Biryani,1187.0,100,29,1087.0,41,,Cancelled,UPI,True,1.5,False,2026-01
O000070,2026-04-23,C00481,R0209,Chennai,Pizza,247.0,20,19,227.0,50,3.4,Delivered,UPI,True,8.1,False,2026-04
O000071,2026-06-16,C02676,R0055,Hyderabad,Healthy,276.0,0,0,276.0,54,4.6,Delivered,Card,False,7.0,False,2026-06
O000072,2026-06-22,C02035,R0091,Delhi NCR,Burgers,304.0,80,29,224.0,28,3.9,Delivered,UPI,True,3.7,True,2026-06
O000073,2026-06-09,C02467,R0163,Mumbai,North Indian,592.0,0,0,592.0,52,3.9,Delivered,UPI,False,5.3,False,2026-06
O000074,2026-06-15,C01226,R0197,Bengaluru,Burgers,435.0,60,49,375.0,55,3.2,Delivered,Card,True,4.7,False,2026-06
O000075,2026-01-11,C02700,R0042,Delhi NCR,Burgers,1189.0,100,19,1089.0,37,3.7,Delivered,UPI,True,5.2,True,2026-01
O000076,2026-05-18,C02706,R0069,Bengaluru,North Indian,706.0,100,0,606.0,34,,Rejected,UPI,True,6.3,False,2026-05
O000077,2026-04-22,C00462,R0024,Bengaluru,Burgers,414.0,0,0,414.0,18,4.5,Delivered,UPI,False,1.5,False,2026-04
O000078,2026-03-31,C01802,R0199,Delhi NCR,Healthy,481.0,0,29,481.0,29,3.5,Delivered,Cash,False,1.8,False,2026-03
O000079,2026-02-24,C00152,R0199,Hyderabad,Healthy,669.0,60,0,609.0,33,4.0,Delivered,UPI,True,2.7,False,2026-02
O000080,2026-05-28,C02270,R0118,Chennai,Desserts,471.0,0,49,471.0,18,4.3,Delivered,UPI,False,2.3,False,2026-05
O000081,2026-01-17,C00079,R0183,Chennai,Burgers,678.0,0,39,678.0,42,3.5,Delivered,UPI,False,2.4,True,2026-01
O000082,2026-03-09,C01224,R0142,Hyderabad,North Indian,403.0,0,19,403.0,21,4.7,Delivered,UPI,False,1.1,False,2026-03
O000083,2026-05-13,C01786,R0055,Hyderabad,Healthy,977.0,40,19,937.0,36,5.0,Delivered,UPI,True,9.7,False,2026-05
O000084,2026-05-31,C02147,R0015,Bengaluru,South Indian,423.0,80,0,343.0,32,,Cancelled,Cash,True,1.0,False,2026-05
O000085,2026-06-23,C02025,R0005,Mumbai,Pizza,399.0,0,39,399.0,40,4.4,Delivered,Wallet,False,1.5,False,2026-06
O000086,2026-02-21,C02960,R0101,Mumbai,South Indian,538.0,40,0,498.0,40,3.9,Delivered,Cash,True,2.4,False,2026-02
O000087,2026-05-18,C02261,R0132,Mumbai,Desserts,494.0,0,19,494.0,42,4.2,Delivered,UPI,False,6.7,False,2026-05
O000088,2026-06-23,C02750,R0030,Mumbai,Pizza,307.0,0,0,307.0,37,5.0,Delivered,UPI,False,4.3,False,2026-06
O000089,2026-06-05,C01837,R0212,Chennai,Chinese,597.0,0,29,597.0,38,3.3,Delivered,UPI,False,3.6,False,2026-06
O000090,2026-04-07,C01398,R0053,Hyderabad,South Indian,440.0,0,39,440.0,22,4.4,Delivered,Cash,False,1.2,False,2026-04
O000091,2026-06-20,C01076,R0218,Hyderabad,South Indian,437.0,0,0,437.0,42,3.6,Delivered,Cash,False,9.3,False,2026-06
O000092,2026-06-03,C01648,R0073,Hyderabad,Biryani,426.0,20,0,406.0,36,4.5,Delivered,Card,True,2.4,False,2026-06
O000093,2026-02-17,C02183,R0030,Pune,Pizza,906.0,0,29,906.0,47,3.6,Delivered,UPI,False,4.4,False,2026-02
O000094,2026-01-29,C00411,R0236,Bengaluru,Healthy,716.0,0,0,716.0,43,4.7,Delivered,Cash,False,6.8,True,2026-01
O000095,2026-01-27,C02009,R0240,Bengaluru,South Indian,417.0,0,29,417.0,41,3.8,Delivered,UPI,False,3.0,True,2026-01
O000096,2026-05-26,C01494,R0214,Bengaluru,Burgers,474.0,0,19,474.0,49,4.5,Delivered,UPI,False,3.2,False,2026-05
O000097,2026-04-14,C01136,R0104,Delhi NCR,Healthy,897.0,40,39,857.0,42,3.9,Delivered,UPI,True,3.8,False,2026-04
O000098,2026-03-01,C01549,R0105,Delhi NCR,Healthy,565.0,60,19,505.0,45,4.3,Delivered,Card,True,8.7,True,2026-03
O000099,2026-04-16,C00785,R0108,Delhi NCR,Chinese,474.0,0,39,474.0,34,4.4,Delivered,UPI,False,4.2,False,2026-04
O000100,2026-03-10,C01068,R0222,Bengaluru,North Indian,208.0,40,29,168.0,38,5.0,Delivered,UPI,True,3.7,False,2026-03
O000101,2026-04-24,C01421,R0084,Delhi NCR,South Indian,429.0,0,39,429.0,49,3.6,Delivered,Card,False,7.4,False,2026-04
O000102,2026-01-21,C02010,R0092,Mumbai,South Indian,930.0,40,0,890.0,29,3.5,Delivered,Wallet,True,2.7,True,2026-01
O000103,2026-06-01,C01609,R0189,Bengaluru,Biryani,536.0,100,29,436.0,50,5.0,Delivered,UPI,True,4.0,False,2026-06
O000104,2026-04-12,C02309,R0071,Chennai,Desserts,265.0,60,0,205.0,34,4.4,Delivered,UPI,True,1.9,False,2026-04
O000105,2026-05-11,C00743,R0245,Hyderabad,Healthy,471.0,20,39,451.0,45,4.5,Delivered,Cash,True,3.9,False,2026-05
O000106,2026-04-05,C02593,R0068,Bengaluru,Burgers,546.0,0,49,546.0,37,3.8,Delivered,Card,False,3.4,False,2026-04
O000107,2026-04-15,C02436,R0220,Pune,Desserts,372.0,60,29,312.0,48,3.7,Delivered,UPI,True,5.1,False,2026-04
O000108,2026-05-05,C02064,R0055,Chennai,Healthy,324.0,0,49,324.0,43,4.5,Delivered,Cash,False,2.8,False,2026-05
O000109,2026-01-02,C02021,R0099,Bengaluru,Desserts,581.0,20,0,561.0,24,3.4,Delivered,Wallet,True,2.7,True,2026-01
O000110,2026-03-07,C00662,R0097,Mumbai,Biryani,378.0,0,0,378.0,40,4.0,Delivered,Cash,False,3.3,False,2026-03
O000111,2026-04-23,C01828,R0071,Chennai,Desserts,459.0,60,0,399.0,31,4.3,Delivered,UPI,True,0.8,False,2026-04
O000112,2026-06-19,C02150,R0073,Delhi NCR,Biryani,1185.0,20,29,1165.0,38,4.5,Delivered,UPI,True,5.9,False,2026-06
O000113,2026-06-11,C00951,R0226,Chennai,Healthy,402.0,40,39,362.0,60,4.0,Delivered,Cash,True,6.7,False,2026-06
O000114,2026-02-11,C02979,R0231,Pune,South Indian,476.0,40,49,436.0,30,,Rejected,UPI,True,2.1,False,2026-02
O000115,2026-01-20,C00025,R0170,Chennai,Chinese,454.0,40,29,414.0,26,3.5,Delivered,UPI,True,2.3,False,2026-01
O000116,2026-04-07,C01617,R0226,Bengaluru,Healthy,511.0,0,19,511.0,37,4.0,Delivered,Wallet,False,1.1,True,2026-04
O000117,2026-03-09,C00018,R0077,Mumbai,Burgers,604.0,40,29,564.0,51,3.1,Delivered,UPI,True,6.8,False,2026-03
O000118,2026-06-22,C00570,R0157,Bengaluru,Healthy,589.0,0,29,589.0,42,4.2,Delivered,UPI,False,2.9,False,2026-06
O000119,2026-03-16,C01017,R0163,Pune,North Indian,403.0,100,19,303.0,39,3.6,Delivered,UPI,True,1.2,False,2026-03
O000120,2026-05-05,C01356,R0173,Hyderabad,Pizza,251.0,60,29,191.0,46,5.0,Delivered,UPI,True,7.4,False,2026-05
O000121,2026-06-19,C01593,R0202,Chennai,Pizza,230.0,40,0,190.0,31,4.7,Delivered,UPI,True,3.9,False,2026-06
O000122,2026-02-16,C00831,R0222,Hyderabad,North Indian,317.0,0,0,317.0,18,3.8,Delivered,UPI,False,0.8,False,2026-02
O000123,2026-01-05,C01036,R0108,Chennai,Chinese,219.0,100,0,119.0,48,4.3,Delivered,Cash,True,6.6,True,2026-01
O000124,2026-02-18,C01933,R0090,Pune,Chinese,586.0,60,19,526.0,31,4.1,Delivered,UPI,True,3.4,False,2026-02
O000125,2026-05-04,C02211,R0099,Hyderabad,Desserts,1077.0,0,0,1077.0,42,,Cancelled,UPI,False,5.5,False,2026-05
O000126,2026-02-06,C01307,R0220,Delhi NCR,Desserts,334.0,0,29,334.0,49,4.3,Delivered,Card,False,4.4,False,2026-02
O000127,2026-06-11,C01753,R0157,Pune,Healthy,341.0,60,29,281.0,42,4.6,Delivered,Card,True,2.6,False,2026-06
O000128,2026-05-26,C00872,R0244,Bengaluru,Biryani,659.0,40,19,619.0,31,3.8,Delivered,UPI,True,2.6,False,2026-05
O000129,2026-01-19,C00835,R0198,Bengaluru,Desserts,554.0,40,29,514.0,23,4.6,Delivered,UPI,True,1.1,False,2026-01
O000130,2026-02-09,C00857,R0003,Delhi NCR,Chinese,609.0,40,19,569.0,27,4.4,Delivered,UPI,True,1.9,False,2026-02
O000131,2026-01-17,C00970,R0221,Pune,North Indian,358.0,40,29,318.0,41,3.5,Delivered,UPI,True,1.0,True,2026-01
O000132,2026-04-09,C00593,R0185,Mumbai,Pizza,324.0,0,49,324.0,24,4.8,Delivered,UPI,False,3.3,False,2026-04
O000133,2026-04-03,C00255,R0194,Delhi NCR,Biryani,541.0,40,49,501.0,35,4.2,Delivered,Wallet,True,3.0,False,2026-04
O000134,2026-02-11,C02115,R0119,Pune,Burgers,376.0,40,0,336.0,21,3.8,Delivered,Wallet,True,0.7,True,2026-02
O000135,2026-05-03,C02966,R0150,Delhi NCR,Biryani,653.0,20,29,633.0,32,4.7,Delivered,UPI,True,5.3,True,2026-05
O000136,2026-04-17,C02662,R0238,Mumbai,Healthy,1193.0,40,0,1153.0,30,4.0,Delivered,UPI,True,4.6,False,2026-04
O000137,2026-03-13,C00603,R0111,Mumbai,Biryani,506.0,80,39,426.0,36,4.2,Delivered,UPI,True,2.3,False,2026-03
O000138,2026-03-06,C01066,R0242,Mumbai,Biryani,485.0,0,19,485.0,47,4.3,Delivered,UPI,False,4.6,False,2026-03
O000139,2026-04-19,C01812,R0155,Hyderabad,Biryani,525.0,40,29,485.0,33,3.5,Delivered,UPI,True,1.9,True,2026-04
O000140,2026-02-22,C01840,R0243,Bengaluru,Desserts,310.0,40,0,270.0,44,5.0,Delivered,Card,True,3.3,False,2026-02
O000141,2026-05-15,C01810,R0022,Mumbai,South Indian,422.0,100,29,322.0,34,3.5,Delivered,UPI,True,2.2,False,2026-05
O000142,2026-05-13,C02432,R0202,Bengaluru,Pizza,529.0,0,0,529.0,19,4.9,Delivered,Card,False,1.6,False,2026-05
O000143,2026-01-24,C01258,R0116,Delhi NCR,South Indian,494.0,0,19,494.0,38,3.2,Delivered,Wallet,False,6.7,True,2026-01
O000144,2026-01-28,C00966,R0113,Hyderabad,South Indian,572.0,0,39,572.0,49,4.9,Delivered,Cash,False,8.4,True,2026-01
O000145,2026-03-03,C01738,R0177,Delhi NCR,North Indian,479.0,0,39,479.0,32,4.7,Delivered,UPI,False,4.0,True,2026-03
O000146,2026-01-17,C00485,R0211,Hyderabad,Burgers,567.0,0,0,567.0,43,3.8,Delivered,UPI,False,3.1,False,2026-01
O000147,2026-01-20,C00039,R0024,Pune,Burgers,368.0,60,39,308.0,50,4.3,Delivered,UPI,True,5.1,True,2026-01
O000148,2026-01-03,C00011,R0027,Delhi NCR,Desserts,563.0,20,19,543.0,30,3.3,Delivered,Cash,True,3.0,True,2026-01
O000149,2026-06-14,C00624,R0036,Bengaluru,Burgers,293.0,80,0,213.0,23,4.2,Delivered,UPI,True,5.1,False,2026-06
O000150,2026-05-23,C00409,R0107,Bengaluru,Pizza,787.0,60,0,727.0,37,3.3,Delivered,UPI,True,2.4,False,2026-05
O000151,2026-02-20,C02156,R0145,Mumbai,Burgers,319.0,60,39,259.0,47,3.8,Delivered,UPI,True,4.7,True,2026-02
O000152,2026-06-25,C02028,R0056,Delhi NCR,Chinese,431.0,0,49,431.0,41,3.9,Delivered,UPI,False,7.5,False,2026-06
O000153,2026-05-16,C01118,R0010,Chennai,South Indian,446.0,0,39,446.0,35,3.5,Delivered,Card,False,4.6,False,2026-05
O000154,2026-05-21,C02132,R0054,Delhi NCR,Biryani,405.0,80,49,325.0,45,4.3,Delivered,UPI,True,3.1,False,2026-05
O000155,2026-06-25,C02106,R0081,Mumbai,Chinese,501.0,80,49,421.0,21,3.8,Delivered,UPI,True,1.1,False,2026-06
O000156,2026-01-03,C02886,R0108,Bengaluru,Chinese,373.0,20,29,353.0,48,4.5,Delivered,Card,True,4.8,True,2026-01
O000157,2026-03-14,C00605,R0202,Bengaluru,Pizza,412.0,0,29,412.0,49,4.2,Delivered,Card,False,4.7,True,2026-03
O000158,2026-06-08,C00969,R0202,Delhi NCR,Pizza,401.0,0,0,401.0,33,4.2,Delivered,Card,False,3.0,False,2026-06
O000159,2026-04-15,C00165,R0166,Mumbai,Burgers,243.0,0,29,243.0,41,4.1,Delivered,Card,False,2.2,False,2026-04
O000160,2026-04-28,C00437,R0081,Chennai,Chinese,325.0,40,0,285.0,29,4.0,Delivered,Card,True,0.7,False,2026-04
O000161,2026-06-03,C02775,R0127,Chennai,Chinese,887.0,100,39,787.0,50,3.6,Delivered,UPI,True,4.7,False,2026-06
O000162,2026-02-03,C01680,R0218,Bengaluru,South Indian,594.0,0,39,594.0,49,3.0,Delivered,Wallet,False,4.3,True,2026-02
O000163,2026-05-17,C01810,R0218,Mumbai,South Indian,444.0,60,39,384.0,41,3.8,Delivered,Card,True,3.1,False,2026-05
O000164,2026-03-03,C02451,R0243,Hyderabad,Desserts,629.0,0,0,629.0,45,4.0,Delivered,Card,False,1.1,False,2026-03
O000165,2026-04-30,C01410,R0098,Pune,Biryani,420.0,60,0,360.0,44,4.2,Delivered,UPI,True,6.6,False,2026-04
O000166,2026-04-25,C01978,R0132,Mumbai,Desserts,302.0,40,29,262.0,41,3.6,Delivered,UPI,True,1.4,False,2026-04
O000167,2026-01-13,C01162,R0178,Hyderabad,Burgers,539.0,60,49,479.0,45,3.2,Delivered,UPI,True,7.0,True,2026-01
O000168,2026-03-10,C02764,R0219,Bengaluru,North Indian,601.0,0,0,601.0,20,4.2,Delivered,UPI,False,3.3,True,2026-03
O000169,2026-06-18,C00814,R0061,Mumbai,North Indian,527.0,40,0,487.0,34,5.0,Delivered,Card,True,6.8,False,2026-06
O000170,2026-03-18,C02770,R0149,Hyderabad,Chinese,918.0,80,49,838.0,51,4.2,Delivered,Wallet,True,3.3,False,2026-03
O000171,2026-01-01,C02579,R0036,Chennai,Burgers,419.0,60,19,359.0,36,4.2,Delivered,Wallet,True,2.5,True,2026-01
O000172,2026-03-30,C01830,R0102,Mumbai,South Indian,1151.0,20,29,1131.0,22,3.9,Delivered,UPI,True,3.5,True,2026-03
O000173,2026-02-16,C00293,R0046,Hyderabad,North Indian,176.0,0,49,176.0,36,4.5,Delivered,Card,False,3.3,False,2026-02
O000174,2026-01-04,C01499,R0095,Delhi NCR,North Indian,452.0,20,0,432.0,54,3.3,Delivered,Card,True,6.8,True,2026-01
O000175,2026-06-29,C00462,R0071,Bengaluru,Desserts,305.0,40,29,265.0,56,3.9,Delivered,UPI,True,6.2,False,2026-06
O000176,2026-01-10,C02690,R0044,Bengaluru,North Indian,717.0,0,0,717.0,53,4.5,Delivered,UPI,False,5.1,True,2026-01
O000177,2026-01-28,C02092,R0064,Bengaluru,Desserts,484.0,0,0,484.0,25,4.2,Delivered,Card,False,1.1,True,2026-01
O000178,2026-05-01,C01107,R0226,Chennai,Healthy,709.0,100,29,609.0,27,3.0,Delivered,Cash,True,1.0,False,2026-05
O000179,2026-05-06,C02940,R0146,Bengaluru,Burgers,433.0,40,39,393.0,46,,Cancelled,Wallet,True,4.0,False,2026-05
O000180,2026-05-14,C02684,R0216,Mumbai,Desserts,280.0,80,0,200.0,33,3.9,Delivered,UPI,True,1.9,False,2026-05
O000181,2026-06-04,C02587,R0013,Mumbai,Healthy,269.0,100,29,169.0,32,4.0,Delivered,Card,True,1.3,False,2026-06
O000182,2026-05-20,C02910,R0013,Bengaluru,Healthy,262.0,20,19,242.0,45,4.5,Delivered,UPI,True,3.5,False,2026-05
O000183,2026-03-03,C02567,R0025,Pune,Healthy,587.0,40,29,547.0,44,3.9,Delivered,UPI,True,0.7,False,2026-03
O000184,2026-06-29,C01435,R0005,Bengaluru,Pizza,930.0,60,29,870.0,31,,Rejected,UPI,True,3.3,False,2026-06
O000185,2026-06-25,C00711,R0128,Bengaluru,Biryani,529.0,100,0,429.0,34,3.9,Delivered,UPI,True,4.1,False,2026-06
O000186,2026-03-08,C01648,R0039,Hyderabad,Chinese,435.0,0,19,435.0,32,3.9,Delivered,UPI,False,1.3,False,2026-03
O000187,2026-06-23,C00089,R0157,Delhi NCR,Healthy,515.0,0,0,515.0,30,4.2,Delivered,UPI,False,2.8,False,2026-06
O000188,2026-03-15,C01664,R0108,Delhi NCR,Chinese,938.0,60,0,878.0,41,4.5,Delivered,UPI,True,3.3,False,2026-03
O000189,2026-04-05,C01042,R0185,Pune,Pizza,526.0,0,0,526.0,35,4.4,Delivered,UPI,False,2.1,False,2026-04
O000190,2026-05-23,C02721,R0174,Bengaluru,Healthy,677.0,40,0,637.0,34,4.2,Delivered,Card,True,1.3,False,2026-05
O000191,2026-02-05,C02912,R0161,Bengaluru,North Indian,772.0,0,0,772.0,40,3.9,Delivered,Cash,False,2.1,False,2026-02
O000192,2026-05-22,C02938,R0216,Bengaluru,Desserts,350.0,0,0,350.0,37,4.5,Delivered,UPI,False,2.1,False,2026-05
O000193,2026-04-22,C01934,R0138,Chennai,North Indian,385.0,40,0,345.0,44,3.7,Delivered,UPI,True,5.0,False,2026-04
O000194,2026-05-11,C00422,R0186,Bengaluru,Burgers,922.0,40,49,882.0,33,4.6,Delivered,Wallet,True,3.6,False,2026-05
O000195,2026-04-23,C00876,R0025,Chennai,Healthy,345.0,80,0,265.0,27,4.9,Delivered,UPI,True,2.6,False,2026-04
O000196,2026-04-20,C02750,R0233,Mumbai,South Indian,419.0,0,0,419.0,62,4.8,Delivered,Card,False,6.9,False,2026-04
